person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,emp_length_age_ratio,emp_length_cred_hist_ratio,income_emp_length_product,cred_hist_age_ratio,emp_start,interest_income_ratio,parent_dependency
21,10000,2.0,1,4500,8.63,1,0.45,0,2,0,1,0,0,1,0,0,0,0.09523809523809523,1.0,20000.0,0.09523809523809523,19.0,3.8835,0
23,95000,2.0,1,35000,7.9,1,0.37,0,2,0,0,1,0,0,0,0,1,0.08695652173913043,1.0,190000.0,0.08695652173913043,21.0,2.9105263157894736,0
26,108160,4.0,5,35000,18.39,1,0.32,0,4,0,0,1,1,0,0,0,0,0.15384615384615385,1.0,432640.0,0.15384615384615385,22.0,5.950906065088757,0
23,115000,2.0,1,35000,7.9,0,0.3,0,4,0,0,1,1,0,0,0,0,0.08695652173913043,0.5,230000.0,0.17391304347826086,21.0,2.4043478260869566,0
23,500000,7.0,2,30000,10.65,0,0.06,0,3,0,0,0,0,0,0,0,0,0.30434782608695654,2.3333333333333335,3500000.0,0.13043478260869565,16.0,0.639,0
23,120000,0.0,1,35000,7.9,0,0.29,0,4,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.17391304347826086,23.0,2.3041666666666667,0
23,92111,7.0,6,35000,20.25,1,0.32,0,4,0,0,1,0,0,1,0,0,0.30434782608695654,1.75,644777.0,0.17391304347826086,16.0,7.694520741279543,0
23,113000,8.0,4,35000,18.25,1,0.31,0,4,0,0,1,0,0,0,0,0,0.34782608695652173,2.0,904000.0,0.17391304347826086,15.0,5.652654867256637,0
24,10800,8.0,2,1750,10.99,1,0.16,0,2,0,0,0,1,0,0,0,0,0.3333333333333333,4.0,86400.0,0.08333333333333333,16.0,1.7807870370370371,0
25,162500,2.0,1,35000,7.49,0,0.22,0,4,0,0,1,0,0,0,0,1,0.08,0.5,325000.0,0.16,23.0,1.6132307692307692,0
25,137000,9.0,5,34800,16.77,0,0.25,1,2,0,0,1,0,0,0,1,0,0.36,4.5,1233000.0,0.08,16.0,4.259824817518248,0
22,65000,4.0,4,34000,17.58,1,0.52,0,4,0,0,1,1,0,0,0,0,0.18181818181818182,1.0,260000.0,0.18181818181818182,18.0,9.195692307692308,0
24,10980,0.0,1,1500,7.29,0,0.14,0,3,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.125,24.0,0.9959016393442623,0
22,80000,3.0,4,33950,14.54,1,0.42,1,4,0,0,1,0,0,0,1,0,0.13636363636363635,0.75,240000.0,0.18181818181818182,19.0,6.1704125,0
24,67746,8.0,3,33000,12.68,1,0.49,0,3,0,0,1,0,1,0,0,0,0.3333333333333333,2.6666666666666665,541968.0,0.125,16.0,6.176600832521477,0
21,11000,3.0,5,4575,17.74,1,0.42,1,3,0,0,0,0,0,0,0,1,0.14285714285714285,1.0,33000.0,0.14285714285714285,18.0,7.378227272727273,0
23,11000,0.0,1,1400,9.32,0,0.13,0,3,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.13043478260869565,23.0,1.1861818181818182,0
24,65000,6.0,2,32500,9.99,1,0.5,0,3,0,0,1,0,1,0,0,0,0.25,2.0,390000.0,0.125,18.0,4.995,0
21,11389,5.0,3,4000,12.84,1,0.35,1,2,1,0,0,1,0,0,0,0,0.23809523809523808,2.5,56945.0,0.09523809523809523,16.0,4.5096145403459476,0
21,11520,5.0,2,2000,11.12,1,0.17,0,3,0,1,0,0,0,1,0,0,0.23809523809523808,1.6666666666666667,57600.0,0.14285714285714285,16.0,1.9305555555555556,0
25,120000,2.0,1,32000,6.62,0,0.27,0,2,0,0,1,0,0,0,0,1,0.08,1.0,240000.0,0.08,23.0,1.7653333333333334,0
26,95000,7.0,3,31050,14.17,1,0.33,1,3,0,0,1,0,1,0,0,0,0.2692307692307692,2.3333333333333335,665000.0,0.11538461538461539,19.0,4.631352631578947,0
25,306000,2.0,3,24250,13.85,0,0.08,0,3,0,0,1,0,0,0,0,0,0.08,0.6666666666666666,612000.0,0.12,23.0,1.0975898692810457,0
26,300000,10.0,3,7800,13.49,0,0.03,0,4,0,0,0,0,0,1,0,0,0.38461538461538464,2.5,3000000.0,0.15384615384615385,16.0,0.35074,0
21,12000,5.0,1,2500,7.51,1,0.21,0,4,0,1,0,1,0,0,0,0,0.23809523809523808,1.25,60000.0,0.19047619047619047,16.0,1.5645833333333334,1
22,48000,1.0,5,30000,18.39,1,0.63,0,2,0,0,1,1,0,0,0,0,0.045454545454545456,0.5,48000.0,0.09090909090909091,21.0,11.49375,0
24,64000,8.0,4,30000,14.54,1,0.47,1,3,0,0,1,0,0,0,0,0,0.3333333333333333,2.6666666666666665,512000.0,0.125,16.0,6.815625,0
25,75000,4.0,4,30000,16.89,1,0.4,1,4,0,0,1,0,1,0,0,0,0.16,1.0,300000.0,0.16,21.0,6.756,0
23,71500,3.0,4,30000,10.99,1,0.42,0,4,0,0,1,0,0,0,0,0,0.13043478260869565,0.75,214500.0,0.17391304347826086,20.0,4.6111888111888115,0
26,62050,6.0,5,30000,17.99,1,0.41,0,2,0,0,1,0,0,1,0,0,0.23076923076923078,3.0,372300.0,0.07692307692307693,20.0,8.697824335213538,0
24,12000,4.0,2,2500,12.69,1,0.21,0,3,0,1,0,0,0,0,0,1,0.16666666666666666,1.3333333333333333,48000.0,0.125,20.0,2.64375,0
26,300000,10.0,1,20000,7.88,0,0.07,0,4,0,0,0,0,0,0,0,1,0.38461538461538464,2.5,3000000.0,0.15384615384615385,16.0,0.5253333333333333,0
23,300000,1.0,6,24250,19.41,0,0.08,1,2,0,1,0,1,0,0,0,0,0.043478260869565216,0.5,300000.0,0.08695652173913043,22.0,1.568975,0
26,300000,9.0,2,10000,10.38,0,0.03,0,4,0,1,0,0,1,0,0,0,0.34615384615384615,2.25,2700000.0,0.15384615384615385,17.0,0.34600000000000003,0
26,300000,0.0,4,25000,15.33,0,0.08,0,3,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.11538461538461539,26.0,1.2775,0
25,300000,9.0,5,18000,16.45,0,0.06,0,3,0,0,0,0,1,0,0,0,0.36,3.0,2700000.0,0.12,16.0,0.987,0
26,80690,8.0,1,30000,7.49,1,0.37,0,3,0,0,1,0,0,0,1,0,0.3076923076923077,2.6666666666666665,645520.0,0.11538461538461539,18.0,2.7847316891808154,0
22,66300,4.0,2,30000,12.69,1,0.38,0,3,0,0,1,0,0,1,0,0,0.18181818181818182,1.3333333333333333,265200.0,0.13636363636363635,18.0,5.742081447963801,0
26,89028,0.0,1,30000,6.62,1,0.34,0,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.11538461538461539,26.0,2.230758862380375,0
24,78000,4.0,4,30000,10.99,1,0.38,1,4,0,0,1,0,0,0,0,0,0.16666666666666666,1.0,312000.0,0.16666666666666666,20.0,4.226923076923077,0
23,78000,7.0,6,30000,18.62,1,0.38,1,3,0,0,1,0,0,0,0,0,0.30434782608695654,2.3333333333333335,546000.0,0.13043478260869565,16.0,7.161538461538462,0
23,92004,6.0,3,30000,15.23,1,0.33,1,3,0,0,1,0,0,0,1,0,0.2608695652173913,2.0,552024.0,0.13043478260869565,17.0,4.966088430937785,0
23,97000,7.0,2,30000,10.65,1,0.31,0,2,0,0,1,0,0,0,0,1,0.30434782608695654,3.5,679000.0,0.08695652173913043,16.0,3.2938144329896906,0
25,120000,9.0,1,30000,7.9,0,0.25,0,4,0,0,1,1,0,0,0,0,0.36,2.25,1080000.0,0.16,16.0,1.975,0
26,280000,4.0,3,10000,15.96,0,0.04,1,3,0,0,1,0,0,0,1,0,0.15384615384615385,1.3333333333333333,1120000.0,0.11538461538461539,22.0,0.57,0
26,277104,0.0,2,20000,11.48,0,0.07,0,3,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.11538461538461539,26.0,0.8285697788555921,0
23,277000,3.0,1,35000,10.99,0,0.13,0,4,0,1,0,0,0,0,1,0,0.13043478260869565,0.75,831000.0,0.17391304347826086,20.0,1.3886281588447653,0
25,128000,9.0,1,30000,7.29,0,0.23,0,4,0,0,1,0,0,0,1,0,0.36,2.25,1152000.0,0.16,16.0,1.70859375,0
24,12000,2.0,5,1750,10.99,0,0.15,1,3,0,1,0,0,0,0,0,1,0.08333333333333333,0.6666666666666666,24000.0,0.125,22.0,1.6027083333333334,0
21,131000,0.0,1,30000,5.99,0,0.23,0,4,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.19047619047619047,21.0,1.3717557251908397,1
22,275000,6.0,2,12000,11.58,0,0.04,0,2,0,1,0,0,0,0,0,1,0.2727272727272727,3.0,1650000.0,0.09090909090909091,16.0,0.5053090909090909,0
26,263000,0.0,2,10000,10.99,1,0.04,0,4,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.15384615384615385,26.0,0.4178707224334601,0
25,221850,9.0,4,25000,15.7,1,0.1,0,2,0,0,0,0,0,1,0,0,0.36,4.5,1996650.0,0.08,16.0,1.7692134324994366,0
22,70000,6.0,4,29100,15.99,1,0.42,0,3,0,0,1,1,0,0,0,0,0.2727272727272727,2.0,420000.0,0.13636363636363635,16.0,6.647271428571429,0
22,12000,7.0,4,1500,14.84,0,0.13,1,3,0,0,0,1,0,0,0,0,0.3181818181818182,2.3333333333333335,84000.0,0.13636363636363635,15.0,1.855,0
26,260000,10.0,2,28000,10.99,0,0.11,0,3,0,1,0,0,1,0,0,0,0.38461538461538464,3.3333333333333335,2600000.0,0.11538461538461539,16.0,1.1835384615384614,0
25,259000,9.0,4,20000,14.42,0,0.08,1,2,0,0,0,0,1,0,0,0,0.36,4.5,2331000.0,0.08,16.0,1.1135135135135135,0
24,255000,9.0,1,9600,6.99,0,0.04,0,2,0,0,0,1,0,0,0,0,0.375,4.5,2295000.0,0.08333333333333333,15.0,0.2631529411764706,0
25,250000,2.0,3,25000,13.49,0,0.1,0,4,0,0,1,0,0,1,0,0,0.08,0.5,500000.0,0.16,23.0,1.349,0
25,12000,0.0,3,3000,10.99,1,0.25,0,3,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.12,25.0,2.7475,0
22,56950,6.0,1,28000,10.99,1,0.49,0,2,0,0,1,0,0,1,0,0,0.2727272727272727,3.0,341700.0,0.09090909090909091,16.0,5.4033362598770855,0
21,12000,6.0,3,3000,13.61,1,0.25,1,3,0,1,0,1,0,0,0,0,0.2857142857142857,2.0,72000.0,0.14285714285714285,15.0,3.4025,0
23,65000,2.0,1,28000,7.9,1,0.43,0,2,0,0,1,1,0,0,0,0,0.08695652173913043,1.0,130000.0,0.08695652173913043,21.0,3.403076923076923,0
26,85000,2.0,1,28000,7.49,1,0.33,0,3,0,0,1,0,0,0,0,1,0.07692307692307693,0.6666666666666666,170000.0,0.11538461538461539,24.0,2.4672941176470586,0
26,12000,2.0,1,6100,7.51,1,0.51,0,3,0,1,0,1,0,0,0,0,0.07692307692307693,0.6666666666666666,24000.0,0.11538461538461539,24.0,3.8175833333333333,0
22,88000,6.0,2,28000,9.91,1,0.32,0,3,0,0,1,0,0,0,0,1,0.2727272727272727,2.0,528000.0,0.13636363636363635,16.0,3.1531818181818183,0
21,12000,0.0,3,4200,13.48,1,0.35,1,4,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.19047619047619047,21.0,4.718,1
22,12000,6.0,1,4750,7.14,1,0.4,0,2,0,1,0,0,0,0,0,0,0.2727272727272727,3.0,72000.0,0.09090909090909091,16.0,2.82625,0
24,83004,0.0,4,28000,15.99,1,0.34,1,4,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.16666666666666666,24.0,5.393956917738904,0
24,250000,2.0,3,18000,12.98,0,0.07,1,3,0,0,1,1,0,0,0,0,0.08333333333333333,0.6666666666666666,500000.0,0.125,22.0,0.93456,0
25,100000,5.0,2,28000,12.69,0,0.28,0,3,0,0,1,0,0,0,0,0,0.2,1.6666666666666667,500000.0,0.12,20.0,3.5532,0
26,110000,10.0,1,28000,8.9,0,0.25,0,2,0,0,1,1,0,0,0,0,0.38461538461538464,5.0,1100000.0,0.07692307692307693,16.0,2.2654545454545456,0
26,12000,0.0,1,2700,10.99,1,0.23,0,4,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.15384615384615385,26.0,2.47275,0
22,108000,6.0,2,28000,10.99,1,0.26,0,4,0,0,1,1,0,0,0,0,0.2727272727272727,1.5,648000.0,0.18181818181818182,16.0,2.8492592592592594,0
23,151200,7.0,2,28000,11.11,0,0.19,0,2,0,0,1,0,0,0,0,0,0.30434782608695654,3.5,1058400.0,0.08695652173913043,16.0,2.0574074074074074,0
24,69000,2.0,1,27600,10.99,1,0.4,0,2,0,0,1,0,1,0,0,0,0.08333333333333333,1.0,138000.0,0.08333333333333333,22.0,4.396,0
21,12000,5.0,5,3250,15.68,1,0.27,1,3,0,0,0,0,0,0,0,0,0.23809523809523808,1.6666666666666667,60000.0,0.14285714285714285,16.0,4.246666666666667,0
22,70000,4.0,3,27500,13.06,1,0.39,1,3,0,0,1,1,0,0,0,0,0.18181818181818182,1.3333333333333333,280000.0,0.13636363636363635,18.0,5.130714285714285,0
22,240000,6.0,2,25000,10.99,0,0.1,0,2,0,1,0,0,0,0,1,0,0.2727272727272727,3.0,1440000.0,0.09090909090909091,16.0,1.1447916666666667,0
26,73200,5.0,4,27050,15.62,1,0.37,1,2,0,0,1,0,0,0,0,1,0.19230769230769232,2.5,366000.0,0.07692307692307693,21.0,5.772144808743169,0
24,83000,5.0,3,27000,13.49,1,0.33,1,2,0,0,1,0,0,0,1,0,0.20833333333333334,2.5,415000.0,0.08333333333333333,19.0,4.388313253012048,0
24,73399,0.0,4,27000,10.99,1,0.37,0,3,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.125,24.0,4.042698129402308,0
23,62500,7.0,2,26000,11.71,1,0.42,0,2,0,0,1,0,0,1,0,0,0.30434782608695654,3.5,437500.0,0.08695652173913043,16.0,4.87136,0
23,120000,1.0,2,25600,12.69,0,0.21,0,3,0,0,1,1,0,0,0,0,0.043478260869565216,0.3333333333333333,120000.0,0.13043478260869565,22.0,2.7072,0
24,12360,2.0,3,1600,13.57,0,0.13,0,3,0,1,0,0,0,1,0,0,0.08333333333333333,0.6666666666666666,24720.0,0.125,22.0,1.7566343042071197,0
22,60000,0.0,2,25475,10.99,1,0.42,0,3,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.13636363636363635,22.0,4.666170833333333,0
25,234000,3.0,3,20000,14.27,0,0.09,1,4,0,0,0,0,0,1,0,0,0.12,0.75,702000.0,0.16,22.0,1.2196581196581198,0
24,234000,8.0,2,20000,8.88,0,0.09,0,4,0,1,0,0,1,0,0,0,0.3333333333333333,2.0,1872000.0,0.16666666666666666,16.0,0.758974358974359,0
26,234000,10.0,2,21600,12.18,0,0.09,0,3,0,0,0,0,1,0,0,0,0.38461538461538464,3.3333333333333335,2340000.0,0.11538461538461539,16.0,1.1243076923076922,0
25,221004,6.0,4,11900,14.42,1,0.05,1,3,0,0,0,0,0,0,0,0,0.24,2.0,1326024.0,0.12,19.0,0.7764474851133916,0
26,232500,0.0,3,25000,14.17,0,0.11,1,2,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.07692307692307693,26.0,1.5236559139784946,0
25,230000,5.0,3,35000,13.99,0,0.15,0,4,0,0,0,0,0,1,0,0,0.2,1.25,1150000.0,0.16,20.0,2.128913043478261,0
23,83000,7.0,2,25300,10.99,1,0.3,0,3,0,0,1,1,0,0,0,0,0.30434782608695654,2.3333333333333335,581000.0,0.13043478260869565,16.0,3.3499638554216866,0
22,12600,4.0,1,2000,5.42,1,0.16,0,4,0,0,0,0,0,0,1,0,0.18181818181818182,1.0,50400.0,0.18181818181818182,18.0,0.8603174603174604,0
25,12600,3.0,3,1750,13.61,0,0.14,0,3,0,1,0,0,0,0,1,0,0.12,1.0,37800.0,0.12,22.0,1.8902777777777777,0
21,42500,3.0,3,25000,12.73,1,0.59,1,3,0,0,1,1,0,0,0,0,0.14285714285714285,1.0,127500.0,0.14285714285714285,18.0,7.488235294117647,0
24,41000,2.0,4,25000,10.99,1,0.61,0,3,0,0,1,0,1,0,0,0,0.08333333333333333,0.6666666666666666,82000.0,0.125,22.0,6.701219512195122,0
25,12816,0.0,3,3000,12.87,1,0.23,1,4,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.16,25.0,3.0126404494382024,0
24,12960,1.0,2,3650,9.91,1,0.28,0,3,0,0,0,0,1,0,0,0,0.041666666666666664,0.3333333333333333,12960.0,0.125,23.0,2.791010802469136,0
26,226000,4.0,2,20000,11.49,0,0.09,0,4,0,0,0,0,1,0,0,0,0.15384615384615385,1.0,904000.0,0.15384615384615385,22.0,1.0168141592920354,0
25,225000,0.0,5,30000,19.91,0,0.13,1,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.08,25.0,2.6546666666666665,0
26,213000,6.0,2,35000,10.65,1,0.16,0,2,0,0,0,1,0,0,0,0,0.23076923076923078,3.0,1278000.0,0.07692307692307693,20.0,1.75,0
24,225000,0.0,2,6000,10.99,0,0.03,0,4,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.16666666666666666,24.0,0.29306666666666664,0
24,12960,0.0,2,4500,11.83,1,0.35,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.16666666666666666,24.0,4.107638888888889,0
23,12996,0.0,3,2400,13.49,1,0.18,1,2,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.08695652173913043,23.0,2.491228070175439,0
22,42000,6.0,4,25000,14.59,1,0.6,1,2,0,0,1,0,0,1,0,0,0.2727272727272727,3.0,252000.0,0.09090909090909091,16.0,8.68452380952381,0
26,48000,2.0,2,25000,9.64,1,0.52,0,4,0,0,1,1,0,0,0,0,0.07692307692307693,0.5,96000.0,0.15384615384615385,24.0,5.020833333333333,0
25,12996,1.0,4,3600,14.59,1,0.28,0,3,0,1,0,0,0,1,0,0,0.04,0.3333333333333333,12996.0,0.12,24.0,4.041551246537396,0
22,12996,1.0,2,4750,10.99,1,0.37,0,3,0,1,0,1,0,0,0,0,0.045454545454545456,0.3333333333333333,12996.0,0.13636363636363635,21.0,4.016812865497076,0
25,42360,1.0,5,25000,16.35,1,0.59,1,3,0,0,1,1,0,0,0,0,0.04,0.3333333333333333,42360.0,0.12,24.0,9.649433427762041,0
21,49000,4.0,2,25000,10.99,1,0.51,0,2,0,0,1,1,0,0,0,0,0.19047619047619047,2.0,196000.0,0.09523809523809523,17.0,5.607142857142857,0
25,225000,0.0,6,25000,18.67,0,0.11,0,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.08,25.0,2.0744444444444445,0
26,225000,1.0,1,3000,9.32,0,0.01,0,4,0,0,1,1,0,0,0,0,0.038461538461538464,0.25,225000.0,0.15384615384615385,25.0,0.12426666666666666,0
23,225000,8.0,1,7500,8.63,0,0.03,0,2,0,0,1,0,0,0,0,0,0.34782608695652173,4.0,1800000.0,0.08695652173913043,15.0,0.2876666666666667,0
26,225000,2.0,2,25000,10.08,0,0.11,0,2,0,0,0,0,0,0,0,1,0.07692307692307693,1.0,450000.0,0.07692307692307693,24.0,1.12,0
22,49464,5.0,2,25000,11.83,1,0.51,0,3,0,0,1,0,0,0,1,0,0.22727272727272727,1.6666666666666667,247320.0,0.13636363636363635,17.0,5.97909590813521,0
23,50000,1.0,1,25000,7.9,1,0.5,0,3,0,0,1,0,0,0,0,0,0.043478260869565216,0.3333333333333333,50000.0,0.13043478260869565,22.0,3.95,0
25,50000,4.0,1,25000,5.99,1,0.5,0,2,0,0,1,0,1,0,0,0,0.16,2.0,200000.0,0.08,21.0,2.995,0
24,44000,2.0,4,25000,15.33,1,0.57,0,2,0,0,1,0,0,0,0,0,0.08333333333333333,1.0,88000.0,0.08333333333333333,22.0,8.710227272727273,0
23,50000,1.0,2,25000,11.83,1,0.5,0,4,0,0,1,0,0,0,0,1,0.043478260869565216,0.25,50000.0,0.17391304347826086,22.0,5.915,0
22,50004,0.0,2,25000,10.36,1,0.5,0,2,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.09090909090909091,22.0,5.179585633149348,0
22,50004,3.0,3,25000,12.23,1,0.5,0,3,0,0,1,0,0,0,0,1,0.13636363636363635,1.0,150012.0,0.13636363636363635,19.0,6.114510839132869,0
22,52000,2.0,2,25000,11.11,1,0.48,0,4,0,0,1,1,0,0,0,0,0.09090909090909091,0.5,104000.0,0.18181818181818182,20.0,5.341346153846154,0
23,13200,3.0,1,4950,7.9,1,0.38,0,4,0,1,0,0,0,0,0,0,0.13043478260869565,0.75,39600.0,0.17391304347826086,20.0,2.9625,0
24,220000,1.0,2,25000,11.58,0,0.11,0,2,0,0,0,1,0,0,0,0,0.041666666666666664,0.5,220000.0,0.08333333333333333,23.0,1.315909090909091,0
23,216000,5.0,1,21000,8.9,0,0.1,0,3,0,0,0,0,0,0,0,0,0.21739130434782608,1.6666666666666667,1080000.0,0.13043478260869565,18.0,0.8652777777777778,0
25,216000,2.0,4,25000,16.07,0,0.12,0,3,0,0,0,1,0,0,0,0,0.08,0.6666666666666666,432000.0,0.12,23.0,1.8599537037037037,0
26,216000,10.0,3,20000,14.22,0,0.09,1,2,0,0,0,1,0,0,0,0,0.38461538461538464,5.0,2160000.0,0.07692307692307693,16.0,1.3166666666666667,0
23,215000,7.0,3,35000,14.79,0,0.16,1,3,0,0,0,0,0,1,0,0,0.30434782608695654,2.3333333333333335,1505000.0,0.13043478260869565,16.0,2.407674418604651,0
26,215000,11.0,1,12000,7.88,0,0.06,0,2,0,0,0,1,0,0,0,0,0.4230769230769231,5.5,2365000.0,0.07692307692307693,15.0,0.4398139534883721,0
23,52000,1.0,3,25000,13.22,1,0.48,0,2,0,0,1,0,0,0,1,0,0.043478260869565216,0.5,52000.0,0.08695652173913043,22.0,6.355769230769231,0
26,46000,2.0,4,25000,11.86,1,0.54,0,4,0,0,1,0,0,0,0,0,0.07692307692307693,0.5,92000.0,0.15384615384615385,24.0,6.445652173913044,0
22,53000,5.0,3,25000,13.43,1,0.47,1,4,0,0,1,1,0,0,0,0,0.22727272727272727,1.25,265000.0,0.18181818181818182,17.0,6.334905660377358,0
26,47000,0.0,4,25000,15.28,1,0.53,1,2,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.07692307692307693,26.0,8.127659574468085,0
23,47000,1.0,5,25000,17.93,1,0.53,0,2,0,0,1,0,0,0,0,1,0.043478260869565216,0.5,47000.0,0.08695652173913043,22.0,9.537234042553191,0
23,13200,2.0,2,1400,9.25,0,0.11,0,4,0,0,0,1,0,0,0,0,0.08695652173913043,0.5,26400.0,0.17391304347826086,21.0,0.9810606060606061,0
21,13200,0.0,3,4500,12.98,1,0.34,0,4,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.19047619047619047,21.0,4.425,1
22,210000,6.0,2,16000,10.62,0,0.08,0,4,0,0,0,0,0,0,0,1,0.2727272727272727,1.5,1260000.0,0.18181818181818182,16.0,0.8091428571428572,0
26,210000,10.0,2,22000,11.83,0,0.1,0,4,0,1,0,0,0,0,1,0,0.38461538461538464,2.5,2100000.0,0.15384615384615385,16.0,1.2393333333333334,0
26,48000,5.0,6,25000,18.43,1,0.52,0,2,0,0,1,0,0,0,0,1,0.19230769230769232,2.5,240000.0,0.07692307692307693,21.0,9.598958333333334,0
22,54996,6.0,2,25000,10.99,1,0.45,0,4,0,0,1,1,0,0,0,0,0.2727272727272727,1.5,329976.0,0.18181818181818182,16.0,4.99581787766383,0
24,55000,4.0,4,25000,10.99,1,0.45,1,4,0,0,1,0,1,0,0,0,0.16666666666666666,1.0,220000.0,0.16666666666666666,20.0,4.995454545454545,0
23,55000,4.0,2,25000,11.36,1,0.45,0,3,0,0,1,1,0,0,0,0,0.17391304347826086,1.3333333333333333,220000.0,0.13043478260869565,19.0,5.163636363636364,0
23,55000,4.0,4,25000,15.65,1,0.45,1,3,0,0,1,1,0,0,0,0,0.17391304347826086,1.3333333333333333,220000.0,0.13043478260869565,19.0,7.113636363636363,0
24,55164,8.0,3,25000,13.22,1,0.45,1,4,0,0,1,0,0,0,1,0,0.3333333333333333,2.0,441312.0,0.16666666666666666,16.0,5.991226161989704,0
26,56000,4.0,3,25000,12.87,1,0.45,0,2,0,0,1,0,0,0,0,0,0.15384615384615385,2.0,224000.0,0.07692307692307693,22.0,5.745535714285714,0
24,203500,8.0,3,20000,13.04,0,0.1,0,3,0,1,0,0,0,1,0,0,0.3333333333333333,2.6666666666666665,1628000.0,0.125,16.0,1.2815724815724814,0
23,190000,5.0,6,22000,17.58,1,0.12,1,3,0,0,0,1,0,0,0,0,0.21739130434782608,1.6666666666666667,950000.0,0.13043478260869565,18.0,2.0355789473684207,0
23,13920,2.0,5,7750,17.04,1,0.56,0,4,0,1,0,0,0,0,1,0,0.08695652173913043,0.5,27840.0,0.17391304347826086,21.0,9.487068965517242,0
24,60000,0.0,2,25000,10.99,1,0.42,0,3,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.125,24.0,4.579166666666667,0
24,60000,2.0,2,25000,11.11,1,0.42,0,3,0,0,1,0,0,0,1,0,0.08333333333333333,0.6666666666666666,120000.0,0.125,22.0,4.629166666666666,0
26,54000,7.0,4,25000,14.83,1,0.46,1,2,0,0,1,0,0,0,0,0,0.2692307692307692,3.5,378000.0,0.07692307692307693,19.0,6.8657407407407405,0
